Reference Number,Stimulus,Exam,Question Pool,Tags,Option 1,Option 2,Option 3,Option 4,Correct Answer,ImageFileName,TagsToSyllabus,Section,Topic,Tag
2025-Full8008,What is the purpose of considering the transmission mode when assessing electromagnetic field compliance?,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1G_1,It ensures the maximum transmit power is used to ensure the limit is not exceeded.,It allows for the proportion of transmission time over a 6 minute window.,The peak transmitted power will depend on the selected 'mode factor'.,It allows for the different average transmit powers over the time period.,D,,1G1,Licensing conditions and station identification ,Electromagnetic Fields,AAR_4
2025-Full8009,"When conducting an EMF assessment, what is the purpose of considering the proportion of the time spent transmitting over any 6-minute time period?",2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1G_1,The regulations allow averaging of transmit time to assess the overall heating effect on body tissue.,The peak transmitted power should not exceed the limit more than once in a 6 minute time period.,The mode of transmission affects the time period over which the tissue heating effect should be considered.,The 6 minute time period is intended to limit the time of continuous heating to a safe level.,A,,1G1,Licensing conditions and station identification ,Electromagnetic Fields,AAR_4
2025-Full8017,Why does the mode of transmission matter when assessing compliance with the licence requirement for electromagnetic fields?,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1G_1,It determines the maximum transmit time in minutes.,It sets the peak to average transmit power.,It allows for the transmit/receive time ratio.,It corrects for people being out of the main beam.,B,,1G1,Licensing conditions and station identification ,Electromagnetic Fields,AAR_4
2025-Full4060,When operating on 5.300MHz the maximum radiated power must not exceed,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1H_1,100W,100W pep,200W eirp,200W pep,C,,1H1,Licensing conditions and station identification ,Licence Schedule (schedule below 30MHz),AAR_5
2025-Full4092,You are operating on the 60m band and form a net with a group of radio amateurs. In order to comply with your licence conditions you must give your callsign,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1H_1,on joining and leaving the net.,when contacting other net members.,every 30 minutes when you are speaking.,when requested to do so by the station controlling the net.,A,,1H1,Licensing conditions and station identification ,Licence Schedule (schedule below 30MHz),AAR_5
2025-Full76,Which one of the following bands is NOT authorised under the terms of the Amateur Radio Licence?,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1H_1,24.0-24.1MHz,7.0-7.1MHz,3.5-3.8MHz,28.0-29.7MHz,A,,1H1,Licensing conditions and station identification ,Licence Schedule (schedule below 30MHz),AAR_5
2025-Full7657,When operating within the 5MHz band while at a temporary location you must give the location of your station to an accuracy of at least,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1H_1,5 miles every 15 minutes.,5 miles every 30 minutes.,5km every 15 minutes.,5km every 30 minutes.,D,,1H1,Licensing conditions and station identification ,Licence Schedule (schedule below 30MHz),AAR_5
2025-Full7658,When operating within the 5MHz band while at a temporary location you must,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1H_1,give your location every 15 minutes.,be within reach of a working telephone.,limit your power to 100W ERP.,limit the antenna height to 15 metres.,B,,1H1,Licensing conditions and station identification ,Licence Schedule (schedule below 30MHz),AAR_5
2025-Full3972,It is proposed to set up a data repeater and tests on the filtering show that for adequate suppression the transmit and receive signals need to be 12MHz apart. The lowest frequency amateur band that might be suitable is the,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1H_2,13cm band,70cm band,2m band,23cm band,D,,1H1,Licensing conditions and station identification ,Licence Schedule (schedule above 30MHz),AAR_6
2025-Full8113,Operation on part of the UHF frequency band is restricted close to London. What distance is given in the licence.?,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1H_2,100 miles,100km,50 miles,50km,B,,1H1,Licensing conditions and station identification ,Licence Schedule (schedule above 30MHz),AAR_6
2025-Full8114,Which frequency band required written consent from Ofcom?,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1H_2,24.05 to 24.15GHz,5.83 to 5.85GHz,2390 to 2400MHz,431 to 432MHz,A,,1H1,Licensing conditions and station identification ,Licence Schedule (schedule above 30MHz),AAR_6
2025-Full8115,Which amateur band is partly limited to a Peak Envelope Power Limit of 40W ERP?,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1H_2,12mm,70cm,23cm,9cm,B,,1H1,Licensing conditions and station identification ,Licence Schedule (schedule above 30MHz),AAR_6
2025-Full8116,On which amateur band are you limited to at transmit power of 100W?,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1H_2,430 to 431MHz,438 to 440MHz,51 to 52MHz,70 to 70.5MHz,C,,1H1,Licensing conditions and station identification ,Licence Schedule (schedule above 30MHz),AAR_6
2025-Full8117,On which of the following frequencies may a satellite transmit to Earth but on which you must not reply?,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1H_2,24.02GHz,10.48GHz,1265MHz,5840MHz,D,,1H1,Licensing conditions and station identification ,Licence Schedule (schedule above 30MHz),AAR_6
2025-Full7660,Unattended beacons operating at 1298.5MHz cannot be set up in,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1H_3,Scotland.,Jersey.,Guernsey.,Northern Ireland.,D,,1H1,Licensing conditions and station identification ,Licence Schedule (notice of co-ordination),AAR_7
2025-Full8118,"On which amateur band does a proposal to deploy a repeater, beacon, gateway or data station require Ofcom to co-ordinate with the CAA?",2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1H_3,23cm,70cm,9cm,13cm,A,,1H1,Licensing conditions and station identification ,Licence Schedule (notice of co-ordination),AAR_7
2025-Full8119,What is the power limit in the 70cm band above which a beacon requires co-ordination with the MOD?,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1H_3,10W,25W,32W,500mW,B,,1H1,Licensing conditions and station identification ,Licence Schedule (notice of co-ordination),AAR_7
2025-Full8120,What is the restriction in the 2m band applying to a Beacon within 50km of NGR TA 012869?,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1H_3,Co-ordination with the MOD must be completed before use.,The antenna height shall not exceed 20m above ground level.,It must not be left unattended.,It is limited in power to 500mW ERP,C,,1H1,Licensing conditions and station identification ,Licence Schedule (notice of co-ordination),AAR_7
2025-Full8121,Before submitting a request for clearance to Ofcom in the 1240 to 1325MHz bands it is first necessary to,2025 Full V1.6b,2025 Full V1.6b - Amateur Radio,A1H_3,ensure it is at least 25km from any ship to shore radio station.,demonstrate that a trial beacon transmitting at not more than 5W has been active without complaint for at least three months.,shown that the Maritime and Coastguard Agency do not have any co-ordination difficulties.,obtain a provisional callsign from the RSGB.,D,,1H1,Licensing conditions and station identification ,Licence Schedule (notice of co-ordination),AAR_7
2025-Full3361,The circuit diagram shows an NPN transistor being used as an amplifier. The potential difference across the Base-Emitter junction is 0.6Volt and there is 1V across Re. Which resistor may be used for R1 in order to create the correct transistor bias. You may assume the base current is insignificant.,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2B_1,8.2k,10k,12k,15k,B,2025-Full3361.svg,2B1,Technical aspects,Power,ATA_1
2025-Full459,A 50Ω dummy load is connected to a transceiver and 100V of RF is noted on transmit. What is the transceiver's output power?,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2B_1,2W,50W,200W,5000W,C,,2B1,Technical aspects,Power,ATA_1
2025-Full7664,What current will be drawn from the battery?,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2B_1,3mA.,4mA.,4.8mA.,5.2mA.,B,2025-Full7664.png,2B1,Technical aspects,Power,ATA_1
2025-Full7666,There is 6V across the 1kΩ resistor. What is the battery voltage?,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2B_1,24V,36V,45V,60V,D,2025-Full7666.png,2B1,Technical aspects,Power,ATA_1
2025-Full7667,The 1kΩ resistor is dissipating 2W of heat. What is the dissipation in the 4kΩ resistor?,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2B_1,6W,8W,12W,40W,B,2025-Full7667.png,2B1,Technical aspects,Power,ATA_1
2025-Full3555,The diagram shows an air spaced capacitor. Sheets of glass are inserted to fill the spaces between the plates. What effect will this have?,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2D_1,The capacitance will not change but the breakdown voltage will be higher.,It will make no difference to the capacitance but it will be less susceptible to vibration.,The breakdown voltage will be higher and the capacitance will reduce.,The capacitance will increase and the breakdown voltage will be higher.,D,2025-Full3555.svg,2D1,Technical aspects,Reactive components,ATA_2
2025-Full460,A capacitor can have its capacitance reduced by,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2D_1,increasing the distance between the plates,increasing the area of the plates,operating well below the breakdown voltage,using a dielectric with a higher relative permittivity,A,,2D1,Technical aspects,Reactive components,ATA_2
2025-Full8026,As the frequency increases from LF to UHF it is likely that for plastic film capacitors,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2D_2,the losses will increase.,the losses will decrease.,the capacitance will increase.,the capacitance will decrease.,A,,2D2,Technical aspects,Reactive components,ATA_2
2025-Full4063,You notice the polythene capacitors in the output filter of your HF transmitter get warm when operating on 29MHz but not so on 1.8MHz even though you are running at a higher power since your antenna is less efficient on the lower frequency. This is probably because,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2D_2,there are more harmonics to suppress when operating on higher frequencies,the matching is better on the lower bands so the SWR is reduced,the polythene dielectric has higher losses at higher frequencies,the lower antenna efficiency means more power is dissipated in the transmitter,C,,2D2,Technical aspects,Reactive components,ATA_2
2025-Full98,"As a general rule, the losses associated with the dielectric of a capacitor",2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2D_2,decrease as the frequency is increased,depend on the circuit time constant,do not change as the frequency is changed,increase as the frequency is increased,D,,2D2,Technical aspects,Reactive components,ATA_2
2025-Full7886,A capacitor is marked as 0.1µF 250V. What does the 250V parameter indicate?,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2D_3,The maximum continuous rms voltage that should be applied.,The maximum voltage that the capacitor is rated to withstand.,That the capacitor is suitable for use in mains powered circuits.,That the value of capacitance is correct at that voltage.,B,,2D3,Technical aspects,Reactive components,ATA_2
2025-Full95,Which of the following factors would be most important in selecting a suitable reservoir capacitor for use in a mains power supply unit?,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2D_3,Spacing of the plates,Working voltage,Physical size,Type of dielectric,B,,2D3,Technical aspects,Reactive components,ATA_2
2025-Full96,Using a capacitor above its breakdown voltage is likely to,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2D_3,result in an increase in capacitance,cause the capacitor to become a 'short - circuit',cause the capacitor to become inductive,increase the dielectric losses and lower the Q-factor,B,,2D3,Technical aspects,Reactive components,ATA_2
2025-Full104,As the current through a coil increases the resultant magnetic field causes an effect that opposes the increase. This is known as the,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2D_4,back EMF,permeability of the core,reverse bias,Edison effect,A,,2D4,Technical aspects,Reactive components,ATA_3
2025-Full105,"The back EMF created when a current changes, is due to the",2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2D_4,inductance in a coil of wire carrying the current,increase in voltage as current charges a capacitor,increase in voltage as a secondary cell is charged,voltage across a reverse biased diode in a full wave circuit,A,,2D4,Technical aspects,Reactive components,ATA_3
2025-Full106,Self Inductance is the inductance,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2D_4,between two coils of wire wound on the same bobbin,between the primary and secondary of a transformer,between the two windings of a bifilar wound coil (two wires wound simultaneously),of a single coil of wire,D,,2D4,Technical aspects,Reactive components,ATA_3
2025-Full3689,The switch in the diagram is initially closed and the current is steady. The switch is then opened and a spark is seen to pass between the switch contacts. The reason for this is that the,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2D_4,back-EMF of the resistor is large enough to cause an arc,self-inductance of the coil rises sharply as the switch opens,back-EMF of the coil is large enough to cause an arc,EMF of the battery reaches a peak upon opening the switch,C,2025-Full3689.svg,2D4,Technical aspects,Reactive components,ATA_3
2025-Full7674,The drawing shows the circuit of a switching transistor controlling the current in the coil of a relay. The base is fed with regular pulses to cause the relay contacts to close. Which circuit will minimise the voltage spikes caused by the the switching?,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2D_4,Circuit 1.,Circuit 2.,Circuit 3.,Circuit 4.,B,2025-Full7674.png,2D4,Technical aspects,Reactive components,ATA_3
2025-Full7706,"In the case of self-inductance, the magnetic field created by a changing",2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2D_4,current induces a voltage in the same circuit.,voltage induces a current in the same circuit.,resistance induces a voltage in the same circuit.,voltage induces a resistance in the same circuit.,A,,2D4,Technical aspects,Reactive components,ATA_3
2025-Full110,An inductor of negligible resistance is inserted in a series circuit comprising a battery and a resistor. Its effect will be to,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2D_7,slow down the rise in current when the circuit is completed,increase the current flowing,speed up the fall in current when the circuit is broken,reduce the current flowing,A,,2D7,Technical aspects,Reactive components,ATA_4
2025-Full3556,The neon bulb in the figure needs about 65V to cause it to 'strike'. Approximately how long after switch on will it light?,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2D_7,500ms,5ms,5s,50ms,C,2025-Full3556.svg,2D7,Technical aspects,Reactive components,ATA_4
2025-Full3690,"A series circuit is made from an inductor, resistor and switch connected to a battery. At the instant the switch is closed there is zero current in the circuit. The reason for this is that the",2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2D_7,internal resistance of the battery briefly opposes the circuit current,back EMF of the inductor is equal and opposite to the EMF of the battery,neutrons in the wire take a short time to get moving in unison,current from the battery takes a short period of time to get round the circuit,B,,2D7,Technical aspects,Reactive components,ATA_4
2025-Full462,A high voltage power supply for a valve transmitter produces about 1500V. The smoothing capacitor is 100µF and the bleeder resistor is 600kΩ. 1 minute after switch-off the PD across the capacitor will be approximately,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2D_7,50V,1500V,1000V,500V,D,,2D7,Technical aspects,Reactive components,ATA_4
2025-Full7676,The switch S in the diagram is closed at time t=0. Which graph correctly shows the voltage across the resistor after the switch is closed?,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2D_7,Graph 1,Graph 2,Graph 3,Graph 4,B,2025-Full7676.png,2D7,Technical aspects,Reactive components,ATA_4
2025-Full7889,The drawing shows part of the circuit of a Morse key. The voltage source and 1kΩ resistor are inside the transmitter and the coil is added externally to slow the rise and fall of the keying waveform. What is the time constant of the keying circuit?,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2D_7,800µs,800ms,1.25µs,1.25ms,A,2025-Full7889.png,2D7,Technical aspects,Reactive components,ATA_4
2025-Full118,"In constructing an antenna matching circuit, a capacitor with a reactance of about 190Ω at 7MHz is required. The most suitable value of capacitor would be",2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2E_3,56pF,120pF,82pF,22pF,B,,2E3,Technical aspects,AC theory,ATA_5
2025-Full120,The reactance of a 1µH inductor at 16MHz is approximately,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2E_3,1000Ω,1Ω,0.01Ω,100Ω,D,,2E3,Technical aspects,AC theory,ATA_5
2025-Full124,The graph shows the potential differences (PD) in a circuit comprising a resistor and a capacitor connected in series and fed from an AC source.,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2E_3,V1 is the PD between points A and B; V2 is the PD between points A and C,V1 is the PD between points B and C; V2 is the PD between points A and B,V1 is the PD between points A and C; V2 is the PD between points B and C,V1 is the PD between points A and B; V2 is the PD between points B and C,B,2025-Full124.svg,2E3,Technical aspects,AC theory,ATA_5
2025-Full671,The reactance of the inductor in a 14MHz antenna trap is known to be 200Ω. The capacitor required to complete the tuned circuit would need to have a value of approximately,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2E_3,120pF,12pF,56pF,560pF,C,,2E3,Technical aspects,AC theory,ATA_5
2025-Full127,"In the circuit shown, C1 is used as",2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2E_4,a coupling capacitor,an RF bypass capacitor,a decoupling capacitor,a frequency matching capacitor,A,2025-Full127.svg,2E4,Technical aspects,AC theory,ATA_5
2025-Full3322,The circuit diagram shows an oscillator. The function of capacitor C relies upon the ability of a capacitor to,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2E_4,prevent direct current entering further circuit stages,prevent alternating current entering further circuit stages,set the frequency of oscillation,smooth alternating currents,A,2025-Full3322.svg,2E4,Technical aspects,AC theory,ATA_5
2025-Full7679,A 0.1mH ferrite cored coil is fitted on the back of the microphone socket of a transceiver so it is in series with the connection to the circuit board and microphone amplifier. What is its likely purpose?,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2E_5,To tailor the frequency response of the audio path to the modulator.,To act as an anti-aliasing filter prior to digital sampling.,To reduce the likelihood of background noise activating the VOX circuits.,To minimse any RF signals into the microphone amplifier.,D,,2E5,Technical aspects,AC theory,ATA_5
2025-Full3569,In the circuit shown the RMS voltage between points A and B will be approximately,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2E_6,50V,200V,100V,140V,B,2025-Full3569.svg,2E6,Technical aspects,AC theory,ATA_5
2025-Full4076,A resistor of 4000Ω and a capacitor of 27pF are connected in series. What is the impedance of the combination at 1.965MHz?,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2E_6,5000 ohms,3000 ohms,5300 ohms,7000 ohms,A,,2E6,Technical aspects,AC theory,ATA_5
2025-Full758,A 1000Ω resistor is in series with a pure reactance of 1000Ω. What is the approximate impedance of this series circuit?,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2E_6,700Ω,1400Ω,500Ω,2000Ω,B,,2E6,Technical aspects,AC theory,ATA_5
2025-Full771,A 300Ω resistor and an 8µF capacitor are connected in series to the secondary of a 50 to 1 (50:1) ratio step-down transformer the primary of which is connected to a 250V 50Hz mains supply. What current will flow through the resistor?,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2E_6,7mA,3mA,10mA,70mA,C,,2E6,Technical aspects,AC theory,ATA_5
2025-Full6015,"To digitize an analogue signal within the range 20Hz to 14kHz, which is the lowest sample rate that will capture the signals?",2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2F_1,44k samples/second.,40k samples/second.,30k samples/second.,14k samples/second.,C,,2F1,Technical aspects,Digital signals,ATA_6
2025-Full6019,An anti-alias filter should be positioned,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2F_1,prior to the digital to analogue converter,prior to the analogue to digital converter,immediately after the analogue to digital converter.,immediately after the digital to analogue converter.,B,,2F1,Technical aspects,Digital signals,ATA_6
2025-Full7395,"A phenomenon known as ""aliasing"" is caused by",2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2F_1,inadequate filtering of the digital signal after the analogue signal has been sampled.,lower frequencies being present that the ADC is designed to accept.,higher analogue frequencies being present than the ADC is designed to accept.,a higher sampling rate than is required for the analogue bandwidth concerned.,C,,2F1,Technical aspects,Digital signals,ATA_6
2025-Full7645,A software defined receiver is sampling the output of the RF front end amplifier at 80M samples/s. Which filter response should be incorporated in the RF amplifier to avoid aliasing?,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2F_1,Response 1,Response 2,Response 3,Response 4,B,2025-Full7645.png,2F1,Technical aspects,Digital signals,ATA_6
2025-Full7401,The process termed a Fast Fourier Transform,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2F_2,relies on the mutual inducatnce between two coils normally set 90 degrees apart.,samples the signals picked up by the antenna and separates them out into signals in frequency order.,demodulates data signales into their original binary format for subsequent processing.,produces two digital representations of RF or IF signals separated in phase by 90 degrees.,B,,2F2,Technical aspects,Digital signals,ATA_6
2025-Full7686,The top graph is a spectrum analyser plot of a sinewave and a harmonic. Which TWO plots of the same signal in the time domain does the spectrum plot refer to?,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2F_2,Plots 1 and 2,Plots 1 and 4,Plots 2 and 3,Plots 2 and 4,B,2025-Full7686.png,2F2,Technical aspects,Digital signals,ATA_6
2025-Full7864,The Fourier Transform converts,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2F_2,a digital signal to an analogue signal.,an analogue signal to a digital signal.,a signal in the frequency domain to the wavelength domain.,a signal in the time domain to the frequency domain.,D,,2F2,Technical aspects,Digital signals,ATA_6
2025-Full7890,The drawing shows the block diagram of a radio receiver and the signals at points between some of the blocks. Which option best describes the function of block 2?,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2F_2,Signal sampling.,Fourier transformation.,Analogue to digital conversion.,Nyquist filtering.,B,2025-Full7890.png,2F2,Technical aspects,Digital signals,ATA_6
2025-Full159,The mutual inductance of a transformer is,2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2G_1,the inductance due to coupling between the primary and secondary windings,the difference between the primary and secondary inductances,independent of the primary and secondary inductances,the sum of the primary and secondary inductances,A,,2G1,Technical aspects,Transformers,ATA_7
2025-Full166,"A transformer has a potential difference of 100V AC applied to its primary, which results in a primary current of 1A. The potential difference measured at the secondary is 20V AC. The secondary current is",2025 Full V1.6b,2025 Full V1.6b - Technical Aspects,A2G_1,1A,200mA,20A,5A,D,,2G1,Technical aspects,Transformers,ATA_7
